filename,test error,training loss,mutual information,sample entropy,experts usage
fmnist_mnist_scratch_12_6_models.pt,0.1025390625,0.19670897722244263,1.8712372779846191,0.13139167428016663,1.9584145545959473
fmnist_mnist_scratch_12_6_models.pt,0.1171875,0.19115827977657318,1.6117503643035889,0.148056298494339,1.616321325302124
fmnist_mnist_scratch_12_6_models.pt,0.09619140625,0.17481045424938202,1.8854117393493652,0.21377496421337128,1.9690005779266357
fmnist_mnist_scratch_12_6_models.pt,0.095703125,0.15321725606918335,1.824352741241455,0.17236173152923584,1.9447495937347412
fmnist_mnist_scratch_12_6_models.pt,0.0869140625,0.1486375331878662,1.793339729309082,0.08004001528024673,1.940238118171692
fmnist_mnist_scratch_12_6_models.pt,0.09619140625,0.20764632523059845,1.5218462944030762,0.10513363778591156,1.2205027341842651
fmnist_mnist_scratch_12_6_models.pt,0.10595703125,0.18931037187576294,1.651285171508789,0.1402413696050644,1.434417724609375
fmnist_mnist_scratch_12_6_models.pt,0.1005859375,0.16574060916900635,2.180077075958252,0.06842701137065887,1.6700292825698853
fmnist_mnist_scratch_12_6_models.pt,0.10205078125,0.20090878009796143,1.4288601875305176,0.1519956886768341,1.686746597290039
fmnist_mnist_scratch_12_6_models.pt,0.099609375,0.17746669054031372,1.7092986106872559,0.1045590192079544,1.8702654838562012
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.0986328125,0.18948687613010406,1.8655970096588135,0.13180869817733765,1.3959240913391113
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.125,0.18736031651496887,1.5924112796783447,0.14938916265964508,1.9687654972076416
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.09912109375,0.17028853297233582,1.899622917175293,0.2112514227628708,2.11116886138916
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.11376953125,0.1815129816532135,1.899153470993042,0.17242932319641113,2.261732816696167
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.0927734375,0.153481587767601,1.818938970565796,0.0823771208524704,1.8011717796325684
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.13525390625,0.22242054343223572,1.528181552886963,0.10680855065584183,1.873852014541626
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.099609375,0.18152636289596558,1.6851725578308105,0.1413951963186264,1.562036156654358
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.0966796875,0.16303129494190216,2.184415817260742,0.070442795753479,2.0747735500335693
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.10595703125,0.18633735179901123,1.4539525508880615,0.15263737738132477,1.4870606660842896
fmnist_mnist_pretrained_gate_scratch_same_wts_12_6_models.pt,0.1123046875,0.2116040736436844,1.7440834045410156,0.10474257916212082,1.544411301612854
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.09375,0.17742905020713806,1.849806308746338,0.13462764024734497,1.8541500568389893
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.2412109375,0.47207772731781006,1.6012084484100342,0.14816361665725708,1.7562717199325562
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.10302734375,0.18344241380691528,1.9248452186584473,0.21194402873516083,1.7717783451080322
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.16650390625,0.3048030734062195,1.8393449783325195,0.17466552555561066,2.123544454574585
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.0966796875,0.1695115715265274,1.7942187786102295,0.07802924513816833,1.934491515159607
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.119140625,0.22395867109298706,1.5664393901824951,0.10228569060564041,1.6764949560165405
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.1083984375,0.20386458933353424,1.6914691925048828,0.14263226091861725,1.6565219163894653
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.09716796875,0.19000749289989471,2.1888136863708496,0.06851746141910553,1.975012183189392
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.17626953125,0.39462655782699585,1.4587185382843018,0.15101949870586395,1.6054332256317139
fmnist_mnist_pretrained_gate_scratch_rand_wts_12_6_models.pt,0.24365234375,0.43402984738349915,1.830195665359497,0.10252593457698822,1.822748064994812
fmnist_mnist_pretrained_gate_prechosen_12_6_models.pt,0.10888671875,0.18503999710083008,2.5834426879882812,0.21750029921531677,2.4423046112060547
fmnist_mnist_pretrained_gate_prechosen_12_6_models.pt,0.0986328125,0.11873233318328857,2.579535484313965,0.18145175278186798,2.0872159004211426
fmnist_mnist_pretrained_gate_prechosen_12_6_models.pt,0.0966796875,0.17892028391361237,2.5844309329986572,0.21956616640090942,2.2332656383514404
fmnist_mnist_pretrained_gate_prechosen_same_wts_12_6_models.pt,0.1044921875,0.16026124358177185,2.583442449569702,0.2167244851589203,2.4158711433410645
fmnist_mnist_pretrained_gate_prechosen_same_wts_12_6_models.pt,0.09619140625,0.10521794110536575,2.579535722732544,0.1849130392074585,2.455737352371216
fmnist_mnist_pretrained_gate_prechosen_same_wts_12_6_models.pt,0.0927734375,0.13003529608249664,2.584430694580078,0.22224710881710052,2.2462732791900635
fmnist_mnist_pretrained_gate_prechosen_rand_wts_12_6_models.pt,0.099609375,0.15702636539936066,2.583442449569702,0.2193286120891571,2.554568290710449
fmnist_mnist_pretrained_gate_prechosen_rand_wts_12_6_models.pt,0.09521484375,0.10748452693223953,2.579535722732544,0.18096287548542023,2.4700260162353516
fmnist_mnist_pretrained_gate_prechosen_rand_wts_12_6_models.pt,0.0927734375,0.12888997793197632,2.584430694580078,0.22597770392894745,2.48823881149292
